|     | tool     |   seed | bug_id             |   num_patches |   time (seconds) |
| 144 | Figra    |     12 | RPN_EVAL           |             2 |               29 |
| 145 | Figra    |     13 | DEPTH_FIRST_SEARCH |            15 |                8 |
| 146 | Figra    |     13 | HANOI              |             7 |              154 |
| 147 | Figra    |     13 | LEVENSHTEIN        |            15 |               94 |
| 148 | Figra    |     13 | MERGESORT          |             2 |              191 |
| 149 | Figra    |     14 | DEPTH_FIRST_SEARCH |            15 |                7 |
| 150 | Figra    |     14 | GET_FACTORS        |             1 |                2 |
| 151 | Figra    |     14 | HANOI              |             7 |              145 |
| 152 | Figra    |     14 | LEVENSHTEIN        |            16 |              199 |
| 153 | Figra    |     14 | RPN_EVAL           |             2 |                2 |
| 154 | Figra    |     15 | DEPTH_FIRST_SEARCH |            15 |                2 |
| 155 | Figra    |     15 | GET_FACTORS        |             2 |                1 |
| 156 | Figra    |     15 | HANOI              |             7 |              125 |
| 157 | Figra    |     15 | MERGESORT          |             4 |                3 |
| 158 | Figra    |     15 | RPN_EVAL           |             2 |               63 |
| 159 | Figra    |     16 | DEPTH_FIRST_SEARCH |            15 |                5 |
| 160 | Figra    |     16 | GET_FACTORS        |             1 |                2 |
| 161 | Figra    |     16 | HANOI              |             7 |               20 |
| 162 | Figra    |     16 | LEVENSHTEIN        |            16 |              535 |
| 163 | Figra    |     16 | MERGESORT          |             2 |              164 |
| 164 | Figra    |     16 | RPN_EVAL           |             2 |               30 |
| 165 | Figra    |     17 | DEPTH_FIRST_SEARCH |            15 |                5 |
| 166 | Figra    |     17 | MERGESORT          |             2 |               71 |
| 167 | Figra    |     18 | DEPTH_FIRST_SEARCH |            15 |                3 |
| 168 | Figra    |     18 | GET_FACTORS        |             1 |                6 |
| 169 | Figra    |     18 | HANOI              |             5 |              129 |
| 170 | Figra    |     18 | LEVENSHTEIN        |            15 |              212 |
| 171 | Figra    |     18 | MERGESORT          |             3 |                7 |
| 172 | Figra    |     18 | RPN_EVAL           |             2 |               60 |
| 173 | Figra    |     19 | GET_FACTORS        |             1 |                6 |
| 174 | Figra    |     19 | HANOI              |             7 |              167 |
| 175 | Figra    |     19 | LEVENSHTEIN        |            17 |              211 |
| 176 | Figra    |     19 | RPN_EVAL           |             2 |                1 |
| 177 | Figra    |      1 | DEPTH_FIRST_SEARCH |            15 |                3 |
| 178 | Figra    |      1 | MERGESORT          |             4 |               44 |
| 179 | Figra    |      1 | RPN_EVAL           |             2 |               36 |
| 180 | Figra    |     20 | HANOI              |             7 |               53 |
| 181 | Figra    |     20 | MERGESORT          |             2 |              141 |
| 182 | Figra    |     21 | LEVENSHTEIN        |            15 |              225 |
| 183 | Figra    |     21 | MERGESORT          |             3 |               70 |
| 184 | Figra    |     21 | RPN_EVAL           |             2 |               48 |
| 185 | Figra    |     22 | DEPTH_FIRST_SEARCH |            15 |                6 |
| 186 | Figra    |     22 | HANOI              |             7 |              153 |
| 187 | Figra    |     22 | MERGESORT          |             2 |              245 |
| 188 | Figra    |     23 | HANOI              |             7 |              132 |
| 189 | Figra    |     23 | LEVENSHTEIN        |            16 |              103 |
| 190 | Figra    |     23 | MERGESORT          |             2 |              287 |
| 191 | Figra    |     24 | HANOI              |             7 |               74 |
| 192 | Figra    |     24 | LEVENSHTEIN        |            15 |               63 |
| 193 | Figra    |     24 | RPN_EVAL           |             2 |                1 |
| 194 | Figra    |     25 | GET_FACTORS        |             2 |                8 |
| 195 | Figra    |     25 | LEVENSHTEIN        |            15 |              180 |
| 196 | Figra    |     25 | MERGESORT          |             2 |               41 |
| 197 | Figra    |     25 | RPN_EVAL           |             2 |               47 |
| 198 | Figra    |     26 | DEPTH_FIRST_SEARCH |            15 |                4 |
| 199 | Figra    |     26 | RPN_EVAL           |             2 |               70 |
| 200 | Figra    |     27 | GET_FACTORS        |             1 |                3 |
| 201 | Figra    |     27 | HANOI              |             7 |              212 |
| 202 | Figra    |     27 | LEVENSHTEIN        |            16 |              425 |
| 203 | Figra    |     27 | RPN_EVAL           |             2 |                6 |
| 204 | Figra    |     28 | LEVENSHTEIN        |            15 |              796 |
| 205 | Figra    |     28 | RPN_EVAL           |             2 |               44 |
| 206 | Figra    |     29 | DEPTH_FIRST_SEARCH |            15 |                9 |
| 207 | Figra    |     29 | MERGESORT          |             3 |              214 |
| 208 | Figra    |     29 | RPN_EVAL           |             2 |               81 |
| 209 | Figra    |      2 | DEPTH_FIRST_SEARCH |            15 |                2 |
| 210 | Figra    |      2 | HANOI              |             7 |               48 |
| 211 | Figra    |      2 | LEVENSHTEIN        |            15 |              119 |
| 212 | Figra    |      2 | RPN_EVAL           |             2 |                5 |
| 213 | Figra    |      3 | DEPTH_FIRST_SEARCH |            15 |                9 |
| 214 | Figra    |      3 | HANOI              |             7 |              112 |
| 215 | Figra    |      3 | MERGESORT          |             2 |              216 |
| 216 | Figra    |      3 | RPN_EVAL           |             2 |                1 |
| 217 | Figra    |      4 | HANOI              |             7 |              202 |
| 218 | Figra    |      4 | LEVENSHTEIN        |            16 |               21 |
| 219 | Figra    |      4 | MERGESORT          |             2 |               17 |
| 220 | Figra    |      4 | RPN_EVAL           |             2 |               62 |
| 221 | Figra    |      5 | DEPTH_FIRST_SEARCH |            15 |                4 |
| 222 | Figra    |      5 | HANOI              |             7 |              144 |
| 223 | Figra    |      5 | MERGESORT          |             3 |              143 |
| 224 | Figra    |      6 | DEPTH_FIRST_SEARCH |            15 |                5 |
| 225 | Figra    |      6 | RPN_EVAL           |             2 |               54 |
| 226 | Figra    |      7 | DEPTH_FIRST_SEARCH |            15 |               12 |
| 227 | Figra    |      7 | HANOI              |             7 |               95 |
| 228 | Figra    |      7 | LEVENSHTEIN        |            15 |               59 |
| 229 | Figra    |      7 | RPN_EVAL           |             2 |               44 |
| 230 | Figra    |      8 | DEPTH_FIRST_SEARCH |            15 |                5 |
| 231 | Figra    |      8 | MERGESORT          |             3 |               42 |
| 232 | Figra    |      8 | RPN_EVAL           |             2 |               22 |
| 233 | Figra    |      9 | DEPTH_FIRST_SEARCH |            15 |                2 |
| 234 | Figra    |      9 | GET_FACTORS        |             5 |                2 |
| 235 | Figra    |      9 | HANOI              |             7 |              150 |
| 236 | Figra    |      9 | LEVENSHTEIN        |            16 |               71 |
| 237 | Figra    |      9 | MERGESORT          |             2 |              177 |
| 238 | Figra    |      9 | RPN_EVAL           |             2 |               39 |
